matriz_tiles_tabuleiro: .word 16, 12
.byte 
0,1,2,3,4,5,6,7,8,8,8,8,8,8,8,67
9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,66
9,10,11,20,29,38,20,29,38,20,29,38,20,47,10,66
9,10,12,21,30,39,21,30,39,21,30,39,21,48,10,66
9,10,13,22,31,40,22,31,40,22,31,40,22,49,10,66
9,10,14,23,32,41,23,32,41,23,32,41,23,50,10,66
9,10,15,24,33,42,24,33,42,24,33,42,24,51,10,66
9,10,16,25,34,43,25,34,43,25,34,43,25,52,10,66
9,10,17,26,35,44,26,35,44,26,35,44,26,53,10,66
9,10,18,27,36,45,27,36,45,27,36,45,27,54,10,66
9,10,19,28,37,46,28,37,46,28,37,46,28,55,10,66
56,57,57,57,57,57,58,59,60,61,57,57,62,63,64,65

